id,categoria,nivel,tags,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion,cita_biblica
870,Profecías,avanzado,profecia-jeremias-llamado-vientre,"¿Qué declaración hizo Dios a Jeremías sobre su llamado, incluso antes de su nacimiento?",'Antes que te formase en el vientre te conocí','Te elegí después de tu nacimiento','Fuiste escogido por tus propios méritos',No hubo ninguna declaración especial,A,"Dios le dijo a Jeremías que antes de formarlo en el vientre ya lo conocía, y antes de que naciera lo había santificado y ordenado profeta.",Jeremías 1:5
871,Profecías,avanzado,profecia-ezequiel-llamado-comer-rollo,"¿Qué acción simbólica marcó el inicio del ministerio profético de Ezequiel, relacionada con un rollo escrito?",Comer un rollo con lamentaciones y ayes,Quemar un rollo públicamente,Enterrar un rollo en el desierto,Copiar un rollo con sus propias manos,A,"Dios mandó a Ezequiel comer un rollo escrito por ambos lados con endechas, lamentaciones y ayes, como parte de su comisión profética.",Ezequiel 2:9-10; 3:1-3
872,Profecías,experto,profecia-daniel-interpretacion-sueños-don,"¿Qué don específico dio Dios a Daniel, que lo distinguió entre los sabios de Babilonia?",Entendimiento en toda visión y sueños,Fuerza física sobrehumana,Habilidad militar excepcional,Conocimiento de idiomas extranjeros solamente,A,"Dios dio a Daniel entendimiento en toda visión y sueños, lo cual lo distinguió notablemente entre los sabios babilónicos.",Daniel 1:17
873,Profecías,principiante,profecia-simeon-espada-maria,"¿Qué profecía dolorosa dio Simeón a María sobre su propio futuro sufrimiento, al presentar a Jesús en el templo?",Que ella misma sería sacerdotisa,Que una espada traspasaría su alma también,Que nunca vería a su hijo crecer,Que sería rechazada por su familia,B,"Simeón profetizó a María que una espada traspasaría también su alma, anticipando el sufrimiento que presenciaría en la vida y muerte de su hijo.",Lucas 2:34-35
874,Profecías,intermedio,profecia-agabo-hambre-cumplimiento,¿Qué hicieron los discípulos de Antioquía al escuchar la profecía de Agabo sobre una gran hambre venidera?,La ignoraron por completo,"Determinaron enviar socorro a los hermanos de Judea, cada uno según su capacidad",Se dispersaron por temor,Culparon a Agabo de mentiroso,B,"Los discípulos decidieron enviar ayuda a los hermanos de Judea, cada uno según lo que podía, en respuesta a la profecía de Agabo.",Hechos 11:28-29
875,Profecías,avanzado,profecia-pablo-naufragio-anuncio,"Durante la tormenta antes del naufragio en Malta, ¿qué anunció Pablo a la tripulación por revelación de un ángel?",Que todos morirían,"Que ninguna vida se perdería, aunque el barco se perdería",Que el barco llegaría a salvo a Roma sin incidentes,Que debían abandonar el barco de inmediato,B,"Un ángel le reveló a Pablo que ninguna vida se perdería entre ellos, sino solamente la nave, lo cual anunció para animar a la tripulación.",Hechos 27:22-24
876,Profecías,experto,profecia-pablo-atenas-resurreccion-reaccion,¿Cómo reaccionaron algunos de los oyentes atenienses cuando Pablo mencionó la resurrección de los muertos en su discurso del Areópago?,Todos creyeron inmediatamente,"Algunos se burlaban, mientras otros querían oír más después",Lo apedrearon en el acto,Lo coronaron como filósofo principal,B,"Al oír de la resurrección de los muertos, unos se burlaban, y otros decían que le oirían acerca de esto otra vez.",Hechos 17:32
877,Profecías,principiante,profecia-juan-bautista-cordero-señalado,"¿Qué declaración profética hizo Juan el Bautista al ver a Jesús acercarse, señalándolo públicamente?","'He aquí el Cordero de Dios, que quita el pecado del mundo'",'He aquí el Rey de reyes','He aquí el Mesías prometido a Israel','He aquí el Hijo del Hombre',A,"Juan el Bautista, al ver a Jesús venir hacia él, declaró: 'He aquí el Cordero de Dios, que quita el pecado del mundo'.",Juan 1:29
878,Profecías,intermedio,profecia-caifas-año-jubilar,"Según el evangelio de Juan, ¿qué detalle histórico se menciona sobre el cargo de Caifás cuando profetizó sobre la muerte de Jesús?",Que era sumo sacerdote aquel año,Que era el sacerdote más joven de la historia,Que había sido depuesto recientemente,Que no tenía autoridad legítima,A,"Juan aclara que Caifás, siendo sumo sacerdote aquel año, profetizó sin saberlo sobre la muerte de Jesús por la nación.",Juan 11:49-51
879,Profecías,avanzado,profecia-pablo-efeso-lobos-rapaces,¿Qué advertencia profética dio Pablo a los ancianos de Éfeso sobre 'lobos rapaces' que vendrían después de su partida?,Que entrarían lobos rapaces que no perdonarían al rebaño,Que la iglesia de Éfeso desaparecería por completo,Que serían todos perseguidos hasta la muerte,Que nunca más habría falsos maestros,A,"Pablo advirtió que después de su partida entrarían lobos rapaces entre ellos, que no perdonarían al rebaño.",Hechos 20:29
880,Profecías,experto,profecia-juan-apocalipsis-siete-espiritus,¿Qué expresión simbólica usa Juan en Apocalipsis para referirse posiblemente a la plenitud del Espíritu Santo ante el trono de Dios?,'Los siete espíritus que están delante de su trono','Las siete trompetas del juicio','Los siete sellos del libro','Las siete copas de la ira',A,"Juan menciona 'los siete espíritus que están delante de su trono', interpretado por muchos como referencia simbólica a la plenitud del Espíritu Santo.",Apocalipsis 1:4
881,Doctrina básica,principiante,doctrina-oracion-persistencia,"¿Qué enseñó Jesús sobre la actitud correcta al orar, evitando 'vanas repeticiones' como los gentiles?","Que se debía orar con pocas palabras, sinceramente, como enseña el Padre Nuestro",Que había que repetir oraciones largas para ser escuchado,Que solo los sacerdotes podían orar correctamente,Que la oración debía hacerse solo en el templo,A,"Jesús enseñó a no usar vanas repeticiones como los gentiles, sino orar de manera sincera, dando como modelo el Padre Nuestro.",Mateo 6:7-9
882,Doctrina básica,principiante,doctrina-ayuno-actitud,"Según Jesús, ¿qué actitud debía evitarse al ayunar, para no hacerlo por ostentación?",Ponerse triste el rostro para que otros lo noten,Ayunar en secreto sin que se note ante los hombres,Anunciar públicamente el ayuno,Ayunar solo en fechas religiosas obligatorias,B,"Jesús enseñó que al ayunar no debían poner rostro triste como los hipócritas, sino ungirse y lavarse el rostro, ayunando en secreto ante el Padre.",Mateo 6:16-18
883,Doctrina básica,intermedio,doctrina-tesoros-cielo,¿Qué enseñó Jesús sobre dónde deben los creyentes acumular sus 'tesoros'?,"En la tierra, para seguridad material","En el cielo, donde no hay corrupción ni robo",En el templo exclusivamente,En bancos seguros solamente,B,"Jesús enseñó a no acumular tesoros en la tierra donde la polilla y el orín corrompen, sino en el cielo, donde ni la polilla ni el orín destruyen.",Mateo 6:19-20
884,Doctrina básica,intermedio,doctrina-afan-vida,"¿Qué enseñó Jesús sobre el afán por la vida, usando el ejemplo de las aves del cielo y los lirios del campo?",Que había que trabajar sin descanso para sobrevivir,Que Dios cuidaría de sus necesidades si buscaban primero su reino,Que la naturaleza no tenía relación con la fe,Que solo los ricos podían confiar en Dios,B,"Jesús enseñó a no afanarse, pues así como Dios cuida de las aves y viste los lirios, cuidará mucho más de sus hijos si buscan primero su reino.",Mateo 6:25-33
885,Doctrina básica,avanzado,doctrina-juicio-no-juzgar,"¿Qué principio enseñó Jesús respecto a juzgar a otros, usando la imagen de la paja y la viga?",Que nunca se debía señalar el pecado ajeno bajo ninguna circunstancia,Que había que examinarse primero antes de corregir al prójimo,Que solo los líderes religiosos podían juzgar,Que el juicio debía hacerse públicamente siempre,B,"Jesús enseñó a sacar primero la viga del propio ojo antes de intentar sacar la paja del ojo del hermano, enfatizando la humildad antes de corregir.",Mateo 7:3-5
886,Doctrina básica,avanzado,doctrina-puerta-estrecha,"¿Qué imagen usó Jesús para describir el camino que lleva a la vida eterna, en contraste con el camino de perdición?",Un camino ancho y fácil para todos por igual,La puerta estrecha y el camino angosto,Un puente sin obstáculos,Una escalera directa sin esfuerzo,B,"Jesús enseñó que la puerta es estrecha y angosto el camino que lleva a la vida, y pocos son los que la hallan.",Mateo 7:13-14
887,Doctrina básica,experto,doctrina-arboles-frutos,¿Qué principio de discernimiento enseñó Jesús respecto a identificar a los falsos profetas 'por sus frutos'?,"Que se debía juzgar por sus palabras únicamente, sin importar sus acciones","Que un buen árbol no puede dar malos frutos, y viceversa",Que todos los profetas eran automáticamente confiables,Que el discernimiento era imposible en esta vida,B,"Jesús enseñó que así como un árbol se conoce por su fruto, los falsos profetas se reconocerían por sus obras, no solo por sus palabras.",Mateo 7:15-20
888,Doctrina básica,experto,doctrina-hacedores-palabra,"¿Qué advirtió Jesús sobre quienes dicen '¡Señor, Señor!' pero no hacen la voluntad de Dios?",Que serían automáticamente salvos por invocar su nombre,"Que no todos los que dicen 'Señor' entrarán en el reino de los cielos, sino los que hacen la voluntad del Padre",Que su fe sería suficiente sin importar sus obras,Que Dios ignoraría sus palabras sin consecuencia,B,"Jesús advirtió que no todo el que le dice 'Señor, Señor' entrará en el reino de los cielos, sino el que hace la voluntad de su Padre.",Mateo 7:21
889,Doctrina básica,principiante,doctrina-luz-candelero,"¿Qué enseñó Jesús sobre no esconder la luz bajo un almud, sino ponerla en el candelero?",Que los creyentes deben ocultar su fe por seguridad,Que las buenas obras de los creyentes deben ser vistas para glorificar a Dios,Que la luz física era más importante que la espiritual,Que solo los líderes debían mostrar su fe,B,"Jesús enseñó que la luz de los creyentes debe alumbrar delante de los hombres, para que vean sus buenas obras y glorifiquen al Padre.",Mateo 5:15-16
890,Doctrina básica,intermedio,doctrina-amor-enemigos,"¿Qué mandamiento radical dio Jesús respecto al trato hacia los enemigos, superando la ética del Antiguo Testamento?",Vengarse proporcionalmente,Amad a vuestros enemigos y orad por los que os persiguen,Evitar todo contacto con ellos,Denunciarlos ante las autoridades,B,"Jesús enseñó un principio radical de amor: amar a los enemigos y orar por quienes persiguen, superando la reciprocidad esperada.",Mateo 5:44
891,Doctrina básica,avanzado,doctrina-juramentos,"¿Qué enseñó Jesús sobre hacer juramentos, prefiriendo la simplicidad en el hablar?",Que se debía jurar frecuentemente para dar más credibilidad,"Que el hablar debía ser 'sí, sí' o 'no, no', sin necesidad de juramentos",Que solo los sacerdotes podían hacer juramentos válidos,Que todos los juramentos eran obligatorios sin excepción,B,"Jesús enseñó a no jurar en absoluto, sino que la palabra fuera simplemente 'sí' o 'no', pues lo que sea más de esto, de mal procede.","Mateo 5:34,37"
892,Doctrina básica,avanzado,doctrina-otra-mejilla,"¿Qué principio enseñó Jesús sobre no resistir al que es malo, usando la imagen de 'la otra mejilla'?",Que había que vengarse proporcionalmente siempre,"Que si alguien te hiere en una mejilla, presentes también la otra",Que la violencia siempre debía responderse con más violencia,Que se debía huir de todo conflicto sin excepción,B,"Jesús enseñó un principio de no resistencia al mal con violencia, ilustrado con la imagen de presentar la otra mejilla.",Mateo 5:39
893,Doctrina básica,experto,doctrina-sal-sin-sabor,"¿Qué advertencia dio Jesús sobre la 'sal que se desvanece', en relación con la identidad de sus discípulos?","Que la sal sin sabor ya no sirve para nada, sino para ser echada fuera",Que la sal siempre mantiene su sabor sin importar el uso,Que la sal era irrelevante para la enseñanza espiritual,Que solo los sacerdotes podían usar sal simbólicamente,A,"Jesús advirtió que si la sal pierde su sabor, ya no sirve para nada, sino para ser echada fuera y hollada por los hombres, ilustrando la pérdida de propósito espiritual.",Mateo 5:13
894,Doctrina básica,principiante,doctrina-ira-corazon,"¿Cómo profundizó Jesús el mandamiento 'no matarás', extendiéndolo también a la actitud del corazón?",Diciendo que solo el homicidio físico era pecado,Enseñando que aun la ira sin causa contra el hermano sería sujeta a juicio,Eliminando por completo ese mandamiento,Aplicándolo solo a los líderes religiosos,B,"Jesús enseñó que no solo el acto de matar era pecado, sino que cualquiera que se enojara sin causa contra su hermano sería culpable ante Dios.",Mateo 5:21-22
895,Doctrina básica,intermedio,doctrina-adulterio-corazon,"¿Cómo profundizó Jesús el mandamiento contra el adulterio, extendiéndolo a la mirada y el pensamiento?",Diciendo que solo el acto físico contaba como pecado,Enseñando que mirar a una mujer para codiciarla ya era adulterio en el corazón,Ignorando completamente ese mandamiento,"Aplicándolo solo a las mujeres, no a los hombres",B,"Jesús enseñó que cualquiera que mira a una mujer para codiciarla, ya adulteró con ella en su corazón.",Mateo 5:27-28
896,Doctrina básica,avanzado,doctrina-limosna-secreto,"¿Qué instrucción dio Jesús sobre cómo dar limosna, evitando la ostentación pública?",Que se debía anunciar con trompeta como los hipócritas,Que la mano izquierda no supiera lo que hace la derecha,Que solo los ricos debían dar limosna,Que había que dar solo en el templo públicamente,B,"Jesús enseñó a dar limosna en secreto, de modo que ni la mano izquierda supiera lo que hace la derecha, evitando la ostentación.",Mateo 6:2-3
897,Doctrina básica,avanzado,doctrina-perdon-condicion,"En el Padre Nuestro, ¿qué condición vincula Jesús directamente con recibir el perdón de Dios?","Ninguna condición, el perdón es siempre incondicional sin importar la actitud propia",Perdonar a los que nos ofenden,Ayunar regularmente,Ofrecer sacrificios en el templo,B,"Jesús enseñó a orar 'perdónanos nuestras deudas, como también nosotros perdonamos', y luego explica que si no perdonamos, tampoco seremos perdonados.","Mateo 6:12,14-15"
898,Doctrina básica,experto,doctrina-dos-caminos-final,"Al final del Sermón del Monte, ¿con qué imagen concluyó Jesús su enseñanza sobre la importancia de poner en práctica sus palabras?",La parábola de la semilla,La parábola de las dos casas construidas sobre roca y arena,La parábola del sembrador,La parábola de la higuera,B,"Jesús concluyó su sermón con la parábola de las dos casas, ilustrando la diferencia entre oír y hacer, o solo oír, su palabra.",Mateo 7:24-27
899,Doctrina básica,principiante,doctrina-buscad-primero,¿Qué prioridad enseñó Jesús que debía tener el creyente por encima de las preocupaciones materiales?,Buscar primeramente el reino de Dios y su justicia,Buscar primero la seguridad económica,Buscar primero el reconocimiento social,Buscar primero la comodidad personal,A,"Jesús enseñó: 'Buscad primeramente el reino de Dios y su justicia, y todas estas cosas os serán añadidas'.",Mateo 6:33
900,Doctrina básica,intermedio,doctrina-regla-oro,¿Qué principio ético resume Jesús con la frase conocida como la 'Regla de Oro'?,"'Ojo por ojo, diente por diente'","'Todo lo que queráis que los hombres hagan con vosotros, así también haced vosotros con ellos'","'No juzguéis, para que no seáis juzgados'","'El que a hierro mata, a hierro muere'",B,"Jesús resumió un principio ético fundamental: tratar a los demás como uno desearía ser tratado, considerándolo síntesis de la ley y los profetas.",Mateo 7:12
901,Antiguo Testamento,principiante,at-caida-serpiente-preguntas,¿Qué pregunta engañosa usó la serpiente para iniciar la tentación de Eva en el huerto del Edén?,'¿Conque Dios os ha dicho: No comáis de todo árbol del huerto?','¿Por qué Dios los creó a ustedes?','¿Dónde está Adán ahora mismo?','¿Qué harán cuando mueran?',A,"La serpiente comenzó cuestionando lo que Dios había dicho, sembrando duda sobre la restricción real que existía.",Génesis 3:1
902,Antiguo Testamento,principiante,at-primera-vestidura-piel,"¿Qué hizo Dios por Adán y Eva después de su pecado, antes de expulsarlos del huerto?",Les dio vestiduras de hojas,Hizo para ellos túnicas de pieles y los vistió,Los dejó completamente desnudos,Les dio armas para protegerse,B,"Dios hizo túnicas de pieles para Adán y su mujer, y los vistió, en un acto que anticipa el principio del sacrificio para cubrir el pecado.",Génesis 3:21
903,Antiguo Testamento,intermedio,at-noe-borrachera,"¿Qué actividad agrícola practicó Noé después del diluvio, que lo llevó a un episodio de embriaguez?",Cultivó trigo,"Plantó una viña, bebió de su vino y se embriagó",Cultivó olivos,Sembró cebada,B,"Noé, como labrador, plantó una viña, y bebiendo del vino se embriagó, quedando descubierto dentro de su tienda.",Génesis 9:20-21
904,Antiguo Testamento,intermedio,at-abraham-egipto-engaño,"¿Qué engaño practicó Abraham en Egipto respecto a su esposa Sara, por temor a ser asesinado?",Dijo que Sara era su hermana,Escondió a Sara completamente,Negó estar casado,Huyó dejando a Sara atrás,A,"Por temor a que lo mataran por causa de la belleza de Sara, Abraham le pidió que dijera que era su hermana.",Génesis 12:11-13
905,Antiguo Testamento,avanzado,at-agar-ismael-desierto,"¿Qué le sucedió a Agar e Ismael después de ser enviados al desierto por Abraham, a petición de Sara?",Murieron de sed sin ninguna intervención divina,"Dios abrió los ojos de Agar y le mostró un pozo de agua, salvando a Ismael",Fueron rescatados por Isaac,Regresaron inmediatamente a la casa de Abraham,B,"Cuando el agua se acabó y Agar lloraba por su hijo, Dios abrió sus ojos y vio un pozo de agua, salvando así la vida de Ismael.",Génesis 21:15-19
906,Antiguo Testamento,avanzado,at-isaac-pozos-disputa,"¿Qué disputa recurrente tuvo Isaac con los pastores de Gerar, relacionada con un recurso vital?",Disputas por tierras de cultivo,Disputas por la posesión de varios pozos de agua,Disputas por ganado robado,Disputas religiosas,B,Los pastores de Gerar contendían con los pastores de Isaac por la posesión de los pozos que sus siervos habían cavado.,Génesis 26:19-21
907,Antiguo Testamento,experto,at-jacob-labán-engaño-mutuo,"¿Qué engaño sufrió Jacob de parte de su tío Labán la noche de su boda, recibiendo a la esposa equivocada?",Le dieron a Raquel en lugar de Lea,Le dieron a Lea en lugar de Raquel,No hubo ningún engaño,Le dieron a una sierva desconocida,B,"Labán engañó a Jacob dándole a Lea en lugar de Raquel la noche de bodas, obligándolo a trabajar siete años más por Raquel.","Génesis 29:23-25,27"
908,Antiguo Testamento,principiante,at-jose-sueños-propios,"¿Qué contenido tenían los sueños que José tuvo de joven, que provocaron aún más el resentimiento de sus hermanos?",Que sus hermanos y padres se inclinarían ante él,Que sería esclavo toda su vida,Que moriría joven,Que nunca tendría éxito,A,"José soñó que los manojos de sus hermanos se inclinaban ante el suyo, y también que el sol, la luna y once estrellas se inclinaban ante él.",Génesis 37:5-9
909,Antiguo Testamento,intermedio,at-jose-hermanos-prueba-copa,¿Qué objeto de valor escondió José en el saco de Benjamín como prueba final para sus hermanos?,Una copa de plata,Un anillo de oro,Una moneda de oro,Un manto especial,A,"José mandó esconder su copa de plata en el saco de Benjamín, como prueba para observar la reacción de sus hermanos.",Génesis 44:1-2
910,Antiguo Testamento,avanzado,at-moises-diez-plagas-orden,¿Cuál fue la última y más devastadora de las diez plagas enviadas sobre Egipto?,La plaga de granizo,La muerte de los primogénitos,La plaga de langostas,Las tinieblas,B,"La última plaga, la más devastadora, fue la muerte de todos los primogénitos de Egipto, lo cual finalmente llevó a Faraón a dejar salir a Israel.",Éxodo 12:29-30
911,Antiguo Testamento,avanzado,at-israel-quejas-desierto-agua-amarga,"¿Cuál fue la primera queja del pueblo de Israel después de cruzar el Mar Rojo, relacionada con el agua?",Falta total de agua,Las aguas de Mara eran amargas y no podían beberlas,El agua estaba contaminada con sangre,No había suficientes recipientes para el agua,B,"Al llegar a Mara, el pueblo no pudo beber las aguas porque eran amargas, y por eso se llamó Mara.",Éxodo 15:23
912,Antiguo Testamento,experto,at-nadab-abiu-fuego-extraño-contexto,¿En qué contexto ceremonial específico murieron Nadab y Abiú por ofrecer fuego extraño?,Durante la consagración inicial del sacerdocio de Aarón y sus hijos,Durante una guerra,Durante una celebración de la Pascua,Durante la construcción del templo,A,"Nadab y Abiú murieron durante la ceremonia de consagración del sacerdocio, poco después de que el fuego de Jehová hubiera consumido el sacrificio inicial.",Levítico 9:24; 10:1-2
913,Antiguo Testamento,principiante,at-doce-espias-uvas-escol,¿Qué fruto abundante trajeron los espías como evidencia de la fertilidad de la tierra prometida?,Higos,"Un racimo de uvas tan grande que lo llevaban entre dos, del valle de Escol",Granadas solamente,Dátiles,B,"Los espías cortaron un sarmiento con un racimo de uvas, y lo llevaron en un palo entre dos, junto con granadas e higos, del valle de Escol.",Números 13:23
914,Antiguo Testamento,intermedio,at-nube-fuego-guia,¿De qué manera guiaba Dios a Israel durante el día y la noche en su travesía por el desierto?,Con una columna de nube de día y de fuego de noche,Solo con instrucciones verbales a Moisés,Con un ángel visible constantemente,Sin ninguna guía visible,A,"Jehová iba delante de ellos de día en una columna de nube para guiarlos, y de noche en una columna de fuego para alumbrarles.",Éxodo 13:21
915,Antiguo Testamento,avanzado,at-nadab-fuego-santuario-reaccion-aaron,¿Cómo reaccionó Aarón ante la muerte repentina de sus hijos Nadab y Abiú por el juicio de Dios?,Se rebeló abiertamente contra Dios,Calló (guardó silencio),Lloró públicamente con gran lamento,Abandonó el sacerdocio de inmediato,B,"El texto registra simplemente que Aarón calló, mostrando una sumisión silenciosa y dolorosa ante el juicio divino sobre sus hijos.",Levítico 10:3
916,Antiguo Testamento,experto,at-vaca-alazana-purificacion,"¿Qué animal específico se usaba en un ritual de purificación relacionado con el contacto con los muertos, según Números 19?",Un cordero sin mancha,"Una vaca alazana, perfecta, sin defecto, sobre la cual no se hubiese puesto yugo",Un macho cabrío,Una paloma joven,B,"La ley establecía el uso de una vaca alazana perfecta, sin defecto y que nunca hubiera llevado yugo, para el ritual de purificación por contacto con un cadáver.",Números 19:2
917,Antiguo Testamento,principiante,at-rahab-fe-hebreos-mencion,"Además de en Josué, ¿en qué otro libro del Nuevo Testamento se menciona a Rahab como ejemplo de fe?",Romanos,Hebreos (y también Santiago),Gálatas,Colosenses,B,"Rahab es mencionada tanto en Hebreos 11 como ejemplo de fe, como en Santiago 2 como ejemplo de fe demostrada con obras.",Hebreos 11:31; Santiago 2:25
918,Antiguo Testamento,intermedio,at-gedeon-señal-fuego-roca,"¿Qué señal recibió Gedeón antes de las pruebas del vellón, confirmando el mensaje del ángel con fuego que consumió su ofrenda?",Un fuego que salió de la roca y consumió la carne y los panes sin levadura,Un rayo del cielo,Una voz audible únicamente,Un terremoto local,A,"El ángel de Jehová tocó la ofrenda con la punta de su báculo, y fuego subió de la roca y consumió la carne y los panes sin levadura.",Jueces 6:21
919,Antiguo Testamento,avanzado,at-jefté-hija-voto-consecuencia-detalle,"¿Qué petición hizo la hija de Jefté antes de cumplirse el voto de su padre, obteniendo un plazo de tiempo?",Pidió dos meses para llorar su virginidad en los montes,Pidió escapar del voto por completo,Pidió que su padre fuera sacrificado en su lugar,Pidió casarse antes de cumplirse el voto,A,"La hija de Jefté pidió dos meses para ir a los montes a llorar su virginidad junto con sus compañeras, antes de que se cumpliera el voto de su padre.",Jueces 11:37-39
920,Antiguo Testamento,experto,at-rut-espigar-ley-contexto,¿Qué ley del Antiguo Testamento permitió a Rut recoger espigas en el campo de Booz para sostenerse junto a Noemí?,La ley de dejar las orillas del campo y las espigas caídas para los pobres y extranjeros,La ley del año sabático,La ley del jubileo,La ley de las primicias,A,"La ley mosaica ordenaba dejar sin cosechar las orillas del campo y no recoger las espigas caídas, para que los pobres y extranjeros pudieran recogerlas.",Levítico 19:9-10; Rut 2:2-3
921,Números y datos curiosos,principiante,numeros-diez-mandamientos-tablas,¿En cuántas tablas de piedra fueron escritos originalmente los Diez Mandamientos?,1 tabla,2 tablas,3 tablas,"10 tablas, una por mandamiento",B,Dios entregó a Moisés los mandamientos escritos en dos tablas de piedra.,Éxodo 31:18
922,Números y datos curiosos,principiante,numeros-isaac-hijos-total,¿Cuántos hijos tuvo el patriarca Isaac en total?,1,2,3,4,B,Isaac tuvo únicamente dos hijos: los gemelos Jacob y Esaú.,Génesis 25:24-26
923,Números y datos curiosos,intermedio,numeros-cuarenta-dias-diluvio-noche,¿Durante cuántos días y noches continuas llovió al inicio del diluvio universal?,7 días y noches,40 días y noches,100 días y noches,150 días y noches,B,El texto especifica que llovió sobre la tierra cuarenta días y cuarenta noches consecutivas.,Génesis 7:12
924,Números y datos curiosos,intermedio,numeros-anios-jose-muerte-edad-comparativa,"Comparando con Jacob su padre, quien vivió 147 años, ¿vivió José más o menos años que su padre?",José vivió más años que Jacob,José vivió menos años que Jacob (110 años frente a 147 de Jacob),Vivieron exactamente los mismos años,No hay información suficiente para comparar,B,"José vivió ciento diez años, mientras que su padre Jacob vivió ciento cuarenta y siete años, por lo que José vivió menos tiempo que su padre.",Génesis 47:28; 50:26
925,Números y datos curiosos,avanzado,numeros-reyes-total-judá-israel,"¿Cuántos reyes gobernaron el reino del norte de Israel en total, desde Jeroboam hasta la caída de Samaria?",10 reyes,19 reyes,25 reyes,30 reyes,B,"El reino del norte de Israel tuvo diecinueve reyes en total, ninguno de los cuales es descrito como fiel a Jehová, desde Jeroboam hasta Oseas.",Referencia general: recuento de reyes en 1 y 2 Reyes
926,Números y datos curiosos,avanzado,numeros-reyes-total-judá,"¿Aproximadamente cuántos reyes gobernaron el reino del sur de Judá, incluyendo a algunos considerados buenos?",10 reyes,20 reyes (aproximadamente),30 reyes,5 reyes,B,"El reino de Judá tuvo aproximadamente veinte reyes (contando a Atalía como usurpadora), con una mezcla de reyes buenos y malos, a diferencia del norte.","Referencia general: recuento de reyes en 1 y 2 Reyes, 1 y 2 Crónicas"
927,Números y datos curiosos,experto,numeros-salmos-atribuidos-david,¿Aproximadamente cuántos de los 150 salmos son tradicionalmente atribuidos al rey David en sus encabezados?,Alrededor de 73,Todos los 150,Solo 10,Ninguno directamente,A,"Aproximadamente setenta y tres salmos llevan en su encabezado la atribución a David, aunque la autoría de los encabezados es debatida académicamente.",Referencia general: encabezados de los Salmos
928,Números y datos curiosos,principiante,numeros-doce-discipulos-nombres-total,¿Cuántos nombres diferentes de los doce apóstoles aparecen listados en los evangelios (contando variantes de nombres)?,"Exactamente 12 nombres, con algunas variantes como Tadeo/Judas hijo de Jacobo",10 nombres,15 nombres,20 nombres,A,"Los evangelios listan doce apóstoles, aunque algunos nombres varían ligeramente entre listas, como Tadeo, también llamado Judas hijo de Jacobo.",Mateo 10:2-4; Lucas 6:14-16
929,Números y datos curiosos,intermedio,numeros-dias-lazaro-muerto,¿Cuántos días llevaba Lázaro muerto cuando Jesús llegó a Betania para resucitarlo?,1 día,2 días,4 días,7 días,C,"Marta le dijo a Jesús que Lázaro llevaba ya cuatro días en el sepulcro, por lo que hedería.","Juan 11:17,39"
930,Números y datos curiosos,avanzado,numeros-anios-samuel-servicio-templo,¿A qué edad aproximada fue Samuel dedicado al servicio del tabernáculo por su madre Ana?,"Siendo un niño pequeño, ya destetado",Siendo un adolescente de quince años,Siendo un bebé recién nacido,Siendo ya un hombre adulto,A,"Ana llevó a Samuel al tabernáculo tan pronto como fue destetado, siendo aún un niño pequeño, para dedicarlo al servicio de Jehová.",1 Samuel 1:24
931,Números y datos curiosos,experto,numeros-anios-total-desde-creacion-referencia,¿Qué libro bíblico contiene extensas genealogías que permiten calcular una cronología aproximada desde Adán?,Génesis (junto con otros libros como 1 Crónicas),Levítico,Cantares,Rut,A,"Las genealogías de Génesis, complementadas con otros libros como 1 Crónicas, han sido usadas tradicionalmente para calcular cronologías bíblicas desde la creación.","Génesis 5, 11; 1 Crónicas 1-9"
932,Números y datos curiosos,principiante,numeros-dias-creacion-hombre,"¿En qué día de la creación, según Génesis 1, fue creado el hombre?",Primer día,Cuarto día,Sexto día,Séptimo día,C,"Dios creó al hombre en el sexto día, después de haber creado a los animales terrestres.","Génesis 1:26-27,31"
933,Números y datos curiosos,intermedio,numeros-panes-proposicion-repetido-variante,¿Cada cuánto tiempo se renovaban los panes de la proposición en el tabernáculo?,Cada día,Cada sábado (semanalmente),Cada mes,Cada año,B,Los panes de la proposición se ponían en orden delante de Jehová continuamente cada día de reposo (sábado).,Levítico 24:8
934,Números y datos curiosos,avanzado,numeros-anios-reinado-total-david-salomon-combinado,"Sumando los reinados de David (40 años) y Salomón (40 años), ¿cuántos años en total gobernó esta dinastía combinada antes de la división del reino?",60 años,80 años,100 años,120 años,B,"David reinó cuarenta años y Salomón también reinó cuarenta años, sumando un total de ochenta años de reinado unido antes de la división del reino.",1 Reyes 2:11; 11:42
935,Números y datos curiosos,experto,numeros-anios-exilio-babilonico-inicio-fin,"Aproximadamente, ¿en qué siglo antes de Cristo comenzó el exilio babilónico de Judá?",Siglo X a.C.,Siglo VI a.C.,Siglo III a.C.,Siglo VIII a.C.,B,"El exilio babilónico de Judá comenzó aproximadamente en el siglo VI antes de Cristo, con la caída de Jerusalén en el 586 a.C.",Referencia histórica general
936,Números y datos curiosos,principiante,numeros-plagas-antes-exodo,¿Cuántas plagas específicas se describen en el libro de Éxodo antes de la salida de Israel de Egipto?,5,10,7,12,B,El libro de Éxodo describe diez plagas sucesivas que Dios envió sobre Egipto antes de que Faraón dejara salir a Israel.,Éxodo 7-12
